,F,V,R0,eta,gamma,alpha,,Vexp,R0exp,etaexp
207,8.594952398,-15.7231653,-4.897111232,-0.162563763,0.041601428,0.070674457,,1.48428E-07,0.007468126,0.849961892
208,8.660237477,-15.68213163,-4.901246412,-0.129317355,0.04658882,0.066711436,,1.54645E-07,0.007437307,0.878695063
209,8.508918134,-15.70762642,-4.933820208,-0.158572287,0.044520962,0.078605278,,1.50752E-07,0.007198949,0.853361275
210,8.420747994,-15.69807356,-4.955634242,-0.125387317,0.045292987,0.053980798,,1.522E-07,0.007043612,0.882155162
211,8.550919659,-15.69100623,-4.910618031,-0.136868019,0.049711197,0.133818427,,1.53279E-07,0.007367933,0.872085317
212,8.722330568,-15.66998961,-4.940347785,-0.141793282,0.044982544,0.041496396,,1.56534E-07,0.007152111,0.867800628
213,8.46331701,-15.70902812,-4.93684629,-0.141972723,0.04847604,0.018603208,,1.50541E-07,0.007177198,0.867644923
214,8.557245152,-15.68494468,-4.903715049,-0.126909375,0.045820486,0.021184112,,1.54211E-07,0.00741897,0.880813493
215,8.630372651,-15.67279933,-4.921750489,-0.123745714,0.047828205,0.038706364,,1.56095E-07,0.007286365,0.883604501
216,8.53419879,-15.68327703,-4.92859643,-0.130105487,0.045657002,0.128472853,,1.54468E-07,0.007236653,0.878002809
217,8.597672333,-15.65569644,-4.912930531,-0.132336297,0.042478839,0.125006984,,1.58788E-07,0.007350915,0.876046333
218,8.415033698,-15.68020792,-4.912284142,-0.155604195,0.045765544,0.05191679,,1.54943E-07,0.007355668,0.855897892
219,8.655739577,-15.70944249,-4.875625703,-0.153428624,0.042056583,0.084962524,,1.50479E-07,0.007630318,0.857761985
220,8.532913087,-15.7153317,-4.923238715,-0.121692313,0.044943248,0.065628876,,1.49595E-07,0.007275529,0.885420759
